--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
02/05/2020 14:46:14
--------------------------------------------------------------------------------------------------
Carpeta 50_b
Número de hilos                              15
Semilla población                         1.111
Semilla simulación                        2.221
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            3 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49984         15          0          0          0          0      53,62       0,29        0,0       0,00          0          4          4          0          0          0          0          0          5          0          0       0,00
  5      49979         20          0          0          0          0      53,63       0,37        0,0       0,00          1          9          9          0          0          0          0          0          8          0          0       0,00
  6      49974         25          0          0          0          0      53,63       0,46        0,0       0,00          1         13         13          0          0          0          0          0         10          0          0       0,00
  7      49961         38          0          0          0          0      53,63       0,44        0,0       0,00          2         26         26          0          0          0          0          0         21          0          0       0,00
  8      49946         53          0          0          0          0      53,63       0,44        0,0       0,00          3         39         39          0          0          0          2          0         30          0          0       0,00
  9      49932         67          0          0          0          0      53,62       0,45        0,0       0,00          5         52         52          0          0          0          2          0         38          0          0       0,00
 10      49914         85          0          0          0          0      53,62       0,48        0,0       0,00          7         67         67          0          0          0          2          0         46          0          0       0,00
 11      49889        110          0          0          0          0      53,62       0,50        2,4       0,73         11         88         88          0          0          0          5          0         57          0          0       0,00
 12      49863        136          0          0          0          0      53,62       0,52        2,3       0,83         15        111        111          0          0          0          7          1         69          0          0       0,27
 13      49829        169          0          0          0          0      53,62       0,54        5,7       1,50         20        139        139          0          0          0         10          1         83          0          0       0,67
 14      49783        215          0          1          0          0      53,62       0,55        5,5       1,40         27        178        178          0          0          0         20          2        106          0          0       0,63
 15      49735        263          0          1          0          0      53,62       0,56        6,1       2,43         35        219        218          0          0          0         29          2        130          0          0       1,53
 16      49680        318          0          1          0          0      53,62       0,57        6,2       2,53         44        264        263          0          0          0         37          3        160          0          0       1,63
 17      49626        371          0          2          0          0      53,62       0,59        8,9       3,50         58        305        304          1          0          0         45          4        191          1          0       2,73
 18      49562        434          0          2          0          0      53,62       0,61       10,4       3,66         74        352        351          1          0          0         56          5        233          1          0       3,00
 19      49492        504          0          3          0          0      53,62       0,64       10,2       3,43         94        403        401          1          0          0         67          6        278          1          0       2,76
 20      49415        579          0          4          0          0      53,62       0,65       11,4       3,36        115        459        456          2          0          0         81          7        330          2          0       2,62
 21      49320        672          0          6          0          0      53,62       0,66       12,1       3,35        140        528        524          3          0          0        103          9        397          3          0       3,15
 22      49211        780          0          8          0          0      53,62       0,68       12,4       3,11        170        608        603          5          0          0        126         11        471          4          0       3,26
 23      49076        912          0         11          0          0      53,62       0,68       13,1       3,33        201        712        705          7          0          0        155         14        560          5          0       3,27
 24      48924       1061          0         14          0          0      53,62       0,68       13,4       3,21        236        829        819          9          0          0        186         16        656          6          0       2,64
 25      48755       1226          0         17          0          0      53,62       0,68       13,9       2,97        277        957        945         11          0          0        227         21        759          8          0       2,39
 26      48551       1425          0         22          0          0      53,62       0,68       14,1       2,92        324       1113       1098         15          0          0        269         25        876         10          0       2,27
 27      48322       1648          0         28          0          0      53,62       0,69       14,2       2,80        379       1287       1267         20          0          0        318         30       1006         13          0       2,24
 28      48063       1901          0         34          0          0      53,62       0,69       14,6       2,76        441       1485       1460         24          0          0        382         35       1144         17          0       2,13
 29      47762       2193          0         43          0          0      53,62       0,69       15,0       2,64        510       1717       1684         31          0          0        453         42       1299         22          0       2,09
 30      47420       2524          0         54          0          1      53,62       0,69       15,3       2,58        588       1981       1939         40          0          0        537         51       1471         27          1       1,99
 31      47037       2895          0         66          0          1      53,62       0,69       15,7       2,57        678       2274       2222         50          1          0        627         59       1656         34          1       1,96
